P19	2	43	45	43	0
P8	3	99	4476	4473	4374
P117	23	55	132	109	54
P68	23	5	6295	6272	6267
P32	26	85	9417	9391	9306
P85	27	32	77	50	18
P209	38	28	14702	14664	14636
P83	40	48	10546	10506	10458
P5	50	39	7087	7037	6998
P215	55	8	12564	12509	12501
P292	58	18	3764	3706	3688
P78	66	72	14178	14112	14040
P102	68	1	2766	2698	2697
P76	69	8	3463	3394	3386
P103	73	61	12021	11948	11887
P159	80	85	7610	7530	7445
P34	80	4	6612	6532	6528
P191	96	61	6673	6577	6516
P258	99	66	12630	12531	12465
P140	110	39	8211	8101	8062
P192	111	39	10585	10474	10435
P281	112	56	11686	11574	11518
P62	118	16	262	144	128
P91	121	28	4098	3977	3949
P285	126	65	197	71	6
P246	131	65	4810	4679	4614
P287	131	51	10068	9937	9886
P118	135	100	8625	8490	8390
P218	138	63	4873	4735	4672
P106	139	92	8740	8601	8509
P279	147	80	4556	4409	4329
P238	148	83	9109	8961	8878
P154	149	72	5923	5774	5702
P222	150	49	246	96	47
P151	157	89	11392	11235	11146
P26	158	17	9495	9337	9320
P253	167	30	9525	9358	9328
P278	169	4	9529	9360	9356
P116	174	23	8648	8474	8451
P286	185	94	6017	5832	5738
P53	185	41	9570	9385	9344
P217	187	72	6989	6802	6730
P123	188	23	6040	5852	5829
P132	190	3	9112	8922	8919
P133	190	93	12114	11924	11831
P180	191	80	14258	14067	13987
P260	194	73	7820	7626	7553
P276	195	43	13432	13237	13194
P97	198	7	9733	9535	9528
P47	200	31	9764	9564	9533
P142	201	3	11689	11488	11485
P179	204	25	11417	11213	11188
P150	206	44	11461	11255	11211
P223	209	40	6713	6504	6464
P9	212	30	292	80	50
P101	215	1	11051	10836	10835
P182	217	71	5456	5239	5168
P50	229	57	5074	4845	4788
P264	233	67	7154	6921	6854
P249	234	70	14772	14538	14468
P88	236	57	8268	8032	7975
P105	238	65	6105	5867	5802
P235	238	39	7649	7411	7372
P66	238	44	7198	6960	6916
P98	238	9	11060	10822	10813
P124	241	76	10778	10537	10461
P193	248	62	11523	11275	11213
P95	255	94	12724	12469	12375
P252	261	20	11543	11282	11262
P213	263	98	11787	11524	11426
P227	263	94	6807	6544	6450
P298	263	98	10166	9903	9805
P39	265	15	3779	3514	3499
P224	266	78	10244	9978	9900
P274	267	39	331	64	25
P61	268	17	5341	5073	5056
P203	271	75	12189	11918	11843
P56	272	92	2277	2005	1913
P174	273	1	13782	13509	13508
P157	278	64	10308	10030	9966
P57	284	12	5468	5184	5172
P37	285	28	9598	9313	9285
P296	287	46	3825	3538	3492
P82	289	69	2835	2546	2477
P168	294	77	8817	8523	8446
P17	295	97	2374	2079	1982
P152	296	60	8328	8032	7972
P161	305	26	4582	4277	4251
P196	311	4	5472	5161	5157
P177	312	29	3492	3180	3151
P119	315	61	11121	10806	10745
P4	315	19	10797	10482	10463
P73	316	11	11900	11584	11573
P51	317	6	2841	2524	2518
P42	325	39	4912	4587	4548
P89	326	74	405	79	5
P200	340	10	415	75	65
P259	346	100	5174	4828	4728
P265	350	19	11562	11212	11193
P128	352	86	14344	13992	13906
P7	354	62	7882	7528	7466
P272	355	78	5550	5195	5117
P149	359	98	7747	7388	7290
P11	360	79	4991	4631	4552
P3	360	46	9644	9284	9238
P228	361	100	14444	14083	13983
P30	365	13	428	63	50
P120	369	69	9713	9344	9275
P187	371	61	10858	10487	10426
P18	374	38	14482	14108	14070
P226	374	85	6380	6006	5921
P245	375	71	499	124	53
P111	381	46	7035	6654	6608
P244	386	11	3503	3117	3106
