P19	2	43	45	43	0
P8	3	99	144	141	42
P68	23	5	149	126	121
P117	23	55	204	181	126
P32	26	85	289	263	178
P85	27	32	321	294	262
P209	38	28	349	311	283
P83	40	48	397	357	309
P5	50	39	436	386	347
P215	55	8	444	389	381
P292	58	18	462	404	386
P78	66	72	534	468	396
P102	68	1	535	467	466
P76	69	8	543	474	466
P103	73	61	604	531	470
P34	80	4	608	528	524
P159	80	85	693	613	528
P191	96	61	754	658	597
P258	99	66	820	721	655
P140	110	39	859	749	710
P192	111	39	898	787	748
P281	112	56	954	842	786
P62	118	16	970	852	836
P91	121	28	998	877	849
P285	126	65	1063	937	872
P246	131	65	1128	997	932
P287	131	51	1179	1048	997
P118	135	100	1279	1144	1044
P218	138	63	1342	1204	1141
P106	139	92	1434	1295	1203
P279	147	80	1514	1367	1287
P238	148	83	1597	1449	1366
P154	149	72	1669	1520	1448
P222	150	49	1718	1568	1519
P151	157	89	1807	1650	1561
P26	158	17	1824	1666	1649
P253	167	30	1854	1687	1657
P278	169	4	1858	1689	1685
P116	174	23	1881	1707	1684
P53	185	41	1922	1737	1696
P286	185	94	2016	1831	1737
P217	187	72	2088	1901	1829
P123	188	23	2111	1923	1900
P132	190	3	2114	1924	1921
P133	190	93	2207	2017	1924
P180	191	80	2287	2096	2016
P260	194	73	2360	2166	2093
P276	195	43	2403	2208	2165
P97	198	7	2410	2212	2205
P47	200	31	2441	2241	2210
P142	201	3	2444	2243	2240
P179	204	25	2469	2265	2240
P150	206	44	2513	2307	2263
P223	209	40	2553	2344	2304
P9	212	30	2583	2371	2341
P101	215	1	2584	2369	2368
P182	217	71	2655	2438	2367
P50	229	57	2712	2483	2426
P264	233	67	2779	2546	2479
P249	234	70	2849	2615	2545
P88	236	57	2906	2670	2613
P66	238	44	2950	2712	2668
P98	238	9	2959	2721	2712
P105	238	65	3024	2786	2721
P235	238	39	3063	2825	2786
P124	241	76	3139	2898	2822
P193	248	62	3201	2953	2891
P95	255	94	3295	3040	2946
P252	261	20	3315	3054	3034
P213	263	98	3413	3150	3052
P227	263	94	3507	3244	3150
P298	263	98	3605	3342	3244
P39	265	15	3620	3355	3340
P224	266	78	3698	3432	3354
P274	267	39	3737	3470	3431
P61	268	17	3754	3486	3469
P203	271	75	3829	3558	3483
P56	272	92	3921	3649	3557
P174	273	1	3922	3649	3648
P157	278	64	3986	3708	3644
P57	284	12	3998	3714	3702
P37	285	28	4026	3741	3713
P296	287	46	4072	3785	3739
P82	289	69	4141	3852	3783
P168	294	77	4218	3924	3847
P17	295	97	4315	4020	3923
P152	296	60	4375	4079	4019
P161	305	26	4401	4096	4070
P196	311	4	4405	4094	4090
P177	312	29	4434	4122	4093
