P19	2	43	707	705	662
P8	3	99	11511	11508	11409
P117	23	55	6430	6407	6352
P68	23	5	47	24	19
P32	26	85	11905	11879	11794
P85	27	32	2474	2447	2415
P209	38	28	824	786	758
P83	40	48	5824	5784	5736
P5	50	39	3874	3824	3785
P215	55	8	135	80	72
P292	58	18	456	398	380
P78	66	72	11850	11784	11712
P102	68	1	176	108	107
P76	69	8	184	115	107
P103	73	61	10643	10570	10509
P159	80	85	13430	13350	13265
P34	80	4	208	128	124
P191	96	61	10995	10899	10838
P258	99	66	11108	11009	10943
P140	110	39	5973	5863	5824
P192	111	39	6080	5969	5930
P281	112	56	9950	9838	9782
P62	118	16	1141	1023	1007
P91	121	28	3845	3724	3696
P285	126	65	11536	11410	11345
P246	131	65	11581	11450	11385
P287	131	51	10077	9946	9895
P118	135	100	14494	14359	14259
P218	138	63	11664	11526	11463
P106	139	92	14525	14386	14294
P279	147	80	12981	12834	12754
P238	148	83	13930	13782	13699
P154	149	72	12993	12844	12772
P222	150	49	8505	8355	8306
P151	157	89	13986	13829	13740
P26	158	17	1738	1580	1563
P253	167	30	4389	4222	4192
P278	169	4	500	331	327
P116	174	23	4422	4248	4225
P286	185	94	14609	14424	14330
P53	185	41	8714	8529	8488
P217	187	72	13180	12993	12921
P123	188	23	4589	4401	4378
P132	190	3	563	373	370
P133	190	93	14632	14442	14349
P180	191	80	13254	13063	12983
P260	194	73	13277	13083	13010
P276	195	43	8981	8786	8743
P97	198	7	620	422	415
P47	200	31	7086	6886	6855
P142	201	3	633	432	429
P179	204	25	4945	4741	4716
P150	206	44	9109	8903	8859
P223	209	40	7237	7028	6988
P9	212	30	5081	4869	4839
P101	215	1	684	469	468
P182	217	71	13393	13176	13105
P50	229	57	10874	10645	10588
P264	233	67	12305	12072	12005
P249	234	70	12315	12081	12011
P88	236	57	10904	10668	10611
P105	238	65	12360	12122	12057
P235	238	39	7480	7242	7203
P66	238	44	9285	9047	9003
P98	238	9	766	528	519
P124	241	76	13512	13271	13195
P193	248	62	12427	12179	12117
P95	255	94	14751	14496	14402
P252	261	20	3131	2870	2850
P213	263	98	14779	14516	14418
P227	263	94	14783	14520	14426
P298	263	98	14794	14531	14433
P39	265	15	3247	2982	2967
P224	266	78	13646	13380	13302
P274	267	39	7840	7573	7534
P61	268	17	3404	3136	3119
P203	271	75	13704	13433	13358
P56	272	92	14837	14565	14473
P174	273	1	955	682	681
P157	278	64	12715	12437	12373
P57	284	12	3644	3360	3348
P37	285	28	6041	5756	5728
P296	287	46	9904	9617	9571
P82	289	69	12778	12489	12420
P168	294	77	13779	13485	13408
P17	295	97	14859	14564	14467
P152	296	60	11502	11206	11146
P161	305	26	6136	5831	5805
P196	311	4	1089	778	774
P177	312	29	6155	5843	5814
P119	315	61	12799	12484	12423
P4	315	19	3806	3491	3472
P73	316	11	3817	3501	3490
P51	317	6	1135	818	812
P42	325	39	8180	7855	7816
P89	326	74	13793	13467	13393
P200	340	10	1191	851	841
P259	346	100	14869	14523	14423
P265	350	19	3883	3533	3514
P128	352	86	14459	14107	14021
P7	354	62	12831	12477	12415
P272	355	78	13821	13466	13388
